,0
230,224.17829897991078
231,-5.972326534042338
232,6.366059436958608
233,-42.40259376358582
234,-0.16463583788925007
235,-113.56075750280337
236,-13.824304371862283
237,230.34584202938134
238,246.53039929903827
239,35.10100251117083
240,-20.901559431428012
241,-58.79666583736149
242,253.739782388797
243,237.40773071051254
244,-10.89663281376076
245,261.36513743063557
246,214.2695364103729
247,257.6988999337817
248,262.84404695183264
249,255.5173130390654
250,238.77216588675753
251,251.9759263782497
252,252.30045837749879
253,-220.14483934738286
254,267.8665383969188
255,248.9755058556165
256,-42.85269764548996
257,229.32765466210682
258,236.42313336197066
259,-296.0875595621525
260,-34.444272933868746
261,10.107820492412582
262,215.7299994181235
263,237.54438026326514
264,252.50818721814284
265,219.5020939073815
266,32.69455902170944
267,15.92604051628507
268,-26.00070686192369
269,252.72829322180525
270,205.68349338464225
271,235.675934391496
272,303.28520564441254
273,33.04752732087525
274,232.85848017361317
275,-50.49070384335514
276,312.6339574228099
277,-189.10689733318353
278,14.122618244556122
279,248.55392608990667
280,-18.148772944571988
281,-3.986930605915191
282,-186.4338776615523
283,232.73896434175353
284,-10.466325215508926
285,-216.74041750738738
286,207.96926614219473
287,38.06655234406462
288,235.44872657123983
289,155.6090327680714
290,0.38111679882752014
291,255.32720114878822
292,251.20778582096975
293,51.347640876142805
294,231.8716439075455
295,175.53310298449296
296,241.851376935769
297,-25.71583109029642
298,-16.62515350601889
299,255.75952467120769
300,-147.6232087229348
301,-346.8628020787755
302,219.3701505783762
303,259.7354531923713
304,228.679155626779
305,181.34580972645242
306,256.6625443882121
307,246.86409722425554
308,258.3792001026259
309,6.10929249340208
310,190.6374959335285
311,255.00976676061237
312,-45.63696029576663
313,254.71147280509075
314,192.08702069545873
315,262.5339326417783
316,259.5656915140381
317,159.63897342219494
318,197.87863952535696
319,236.40848283326042
320,280.4526271357031
321,201.9725979024871
322,-102.82679670752256
323,-134.61409824141126
324,-29.315887708317796
325,270.75739039656247
326,-128.62938058944852
327,269.1758339623299
328,266.2632166800752
329,243.58836976989934
330,261.4944742127563
331,219.9638560949023
332,250.48026062270654
333,315.11267920539075
334,200.86635219021866
335,174.9796440899001
336,-106.65339208630047
337,85.0875373532883
338,234.4950215499677
339,254.90415485087692
340,-5.381110343919807
341,0.5247053548007443
342,250.08718436350023
343,287.7803913382519
344,-25.34913336320271
345,-164.60170393877166
346,249.54229264553922
347,244.8914762094833
348,-77.2430558831742
349,228.54096306266206
350,-19.81773065625533
351,229.2131671802304
352,246.195420932824
353,262.1066053734338
354,253.444155388981
355,246.71155365007047
356,223.92119287505633
357,21.169316845332474
358,207.0964405447535
359,-9.011985153453171
360,45.209743315482
361,246.05695619355487
362,254.7256510906839
363,255.58952272349694
364,276.3317994128955
365,278.574722343077
366,249.08918841133612
367,267.45917724362357
368,249.9190528018954
369,239.32011521536893
370,242.74172214831773
371,125.5139673249952
372,267.2070403708975
373,-85.65230916567792
374,263.2357978870844
375,278.63085090997436
376,266.3565371828595
377,269.18271371885317
378,239.93055100230953
379,267.68605632368065
380,263.27530351344694
381,239.2797137451859
382,227.3108918558745
383,280.13550159021196
384,220.95761610380745
385,287.9926010721626
386,225.15031644971532
387,214.10049081274855
388,272.05592411362085
389,234.74397513978357
390,262.14868704089804
391,238.9800510921492
392,241.60766550481736
393,232.65548325628868
